headers_Host,url,method,requestHeaders_Origin,requestHeaders_Content_Type,responseHeaders_Content_Type,requestHeaders_Referer,requestHeaders_Accept,responseHeaders_Content_Disposition,responseHeaders_Content_Encoding,service,activityType
dc585.4shared.com,https://dc585.4shared.com/download/IJceTTWcku/Features-1__1_.pdf?tsid=20241106-152520-fb6685c8&sbsr=d2a3a54978d3480dab36ba4208f3440ab2d&bip=NDkuMzcuMjQxLjEyNA&lgfp=30,GET,,,,https://www.4shared.com/,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",,,4shared,Download
https://www.mediafire.com/api/1.5/notifications/peek_cache.php,https://www.mediafire.com/api/1.5/notifications/peek_cache.php,POST,,,application/json,,,,,MediaFire,Unknown
https://my.microsoftpersonalcontent.com/_api/v2.0/drives/6b451fe8e1dc44d/items/root:/Features-1.pdf:/oneDrive.createUploadSession,https://my.microsoftpersonalcontent.com/_api/v2.0/drives/6b451fe8e1dc44d/items/root:/features-1.pdf:/onedrive.createuploadsession,POST,,,application/json;odata.metadata=minimal;odata.streaming=true;IEEE754Compatible=false;charset=utf-8,,,,,OneDrive,Upload
download1584.mediafire.com,https://download1584.mediafire.com/so8kb0mzrzygW-PdDzKFM4ZfXMwSLUln13C7XYWPzuAP9U2CReqgjmdD202yk2M3CuyphuG3IEqQWpdSAE8fIJn1TeD1p4CdGvwfjjn6A-zSQs6viA_aNjXSAAmaSwpgQ-QjlS6W88blocP21Hwy1ibxWWu9_yWzGvT2wHCsiNPs/jkyfi3ycvxnb6e3/Bio+Poster+%281%29.pdf,GET,,,,https://www.mediafire.com/,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",,,MediaFire,Download
https://www.google-analytics.com/g/collect?v=2&tid=G-N3J09J4YYN&gtm=45je4au0v9176649660za200&_p=1730997014071&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101823848~101925629&cid=1719705403.1730992437&ul=en-us&sr=1536x864&uaa=x86&uab=64&uafvl=Chromium%3B130.0.6723.92%7CGoogle%2520Chrome%3B130.0.6723.92%7CNot%253FA_Brand%3B99.0.0.0&uamb=0&uam=&uap=Windows&uapv=15.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AEE&_s=4&sid=1730992437&sct=1&seg=1&dl=https%3A%2F%2Fzippyshare.day%2Flogin&dr=https%3A%2F%2Fzippyshare.day%2F&dt=Zippyshare%20%E2%80%94%20Sign%20In&en=form_submit&ep.form_id=&ep.form_name=&ep.form_destination=https%3A%2F%2Fzippyshare.day%2Flogin&epn.form_length=7&_et=8903&tfd=18159,https://www.google-analytics.com/g/collect?v=2&tid=g-n3j09j4yyn&gtm=45je4au0v9176649660za200&_p=1730997014071&gcd=13l3l3l3l1l1&npa=0&dma=0&tag_exp=101823848~101925629&cid=1719705403.1730992437&ul=en-us&sr=1536x864&uaa=x86&uab=64&uafvl=chromium%3b130.0.6723.92%7cgoogle%2520chrome%3b130.0.6723.92%7cnot%253fa_brand%3b99.0.0.0&uamb=0&uam=&uap=windows&uapv=15.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=aee&_s=4&sid=1730992437&sct=1&seg=1&dl=https%3a%2f%2fzippyshare.day%2flogin&dr=https%3a%2f%2fzippyshare.day%2f&dt=zippyshare%20%e2%80%94%20sign%20in&en=form_submit&ep.form_id=&ep.form_name=&ep.form_destination=https%3a%2f%2fzippyshare.day%2flogin&epn.form_length=7&_et=8903&tfd=18159,POST,,,text/plain,,,,,Zippyshare,Unknown
www.4shared.com,https://www.4shared.com/rest/sharedFileUpload/status,POST,https://www.4shared.com,application/json; charset=UTF-8,,https://www.4shared.com/account/home.jsp,*/*,,,4shared,Upload
https://www.4shared.com/rest/sharedFileUpload/status,https://www.4shared.com/rest/sharedFileUpload/status,POST,,,application/json;charset=UTF-8,,,,,4shared,Upload
my.microsoftpersonalcontent.com,https://my.microsoftpersonalcontent.com/_api/v2.0/drives/6b451fe8e1dc44d/root/subscriptions/socketio,GET,https://onedrive.live.com,,,https://onedrive.live.com/,application/json,,,OneDrive,Unknown
dc585.4shared.com,https://dc585.4shared.com/download/IJceTTWcku/Features-1__1_.pdf?tsid=20241106-152520-fb6685c8&sbsr=d2a3a54978d3480dab36ba4208f3440ab2d&bip=NDkuMzcuMjQxLjEyNA&lgfp=30,GET,,,,https://www.4shared.com/,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",,,4shared,Download
icecube-eu-304.icedrive.io,https://icecube-eu-304.icedrive.io/download?p=oaqyzyj4bp681buai0eccgs.qnv_f3z3qhprmc2lrjxyjk0gaqzmfll0owpnvadwltyigpuiwi4n9gnsc4mxhsokjfbhtvr2q3prqca83egpd7_crrjn7lkzwuz0qbfjer6rt_xtkphl.qe2_vk_aetriwbgeq4ssi6hgq8lnammoc.wvwwbjlxs7.e._env7aje8hobnracfs2tbs64ug--,GET,,,,https://icedrive.net/,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7",,,Icedrive,Download
